name,cluster
Abomasnow,10
Abra,16
Absol,7
Accelgor,9
Aerodactyl,1
Aggron,15
Aipom,18
Alakazam,16
Alcremie,6
Alomomola,5
Altaria,11
Amaura,10
Ambipom,18
Amoonguss,17
Ampharos,18
Annihilape,12
Anorith,14
Appletun,11
Applin,11
Araquanid,9
Arbok,18
Arboliva,17
Arcanine,13
Arceus,3
Archaludon,15
Archen,1
Archeops,1
Arctibax,10
Arctovish,5
Arctozolt,18
Ariados,9
Armaldo,14
Armarouge,13
Aromatisse,6
Aron,15
Arrokuda,5
Articuno,10
Audino,18
Aurorus,10
Avalugg,10
Axew,11
Azelf,16
Azumarill,6
Azurill,6
Bagon,11
Baltoy,16
Banette,2
Barbaracle,5
Barboach,5
Barraskewda,5
Bastiodon,15
Baxcalibur,10
Bayleef,17
Beartic,10
Beautifly,9
Beedrill,9
Beheeyem,16
Beldum,15
Bellibolt,18
Bellossom,17
Bellsprout,17
Bergmite,10
Bewear,12
Bibarel,5
Bidoof,18
Binacle,5
Bisharp,15
Blacephalon,2
Blastoise,5
Blaziken,13
Blipbug,9
Blissey,18
Blitzle,18
Boldore,14
Boltund,18
Bombirdier,1
Bonsly,14
Bouffalant,18
Bounsweet,17
Braixen,13
Brambleghast,2
Bramblin,2
Braviary,1
Breloom,17
Brionne,5
Bronzong,15
Bronzor,15
Bruxish,16
Budew,17
Buizel,5
Bulbasaur,17
Buneary,18
Bunnelby,18
Butterfree,9
Buzzwole,12
Cacnea,17
Cacturne,7
Calyrex,16
Camerupt,13
Capsakid,17
Carbink,6
Carkol,13
Carnivine,17
Carracosta,5
Carvanha,7
Cascoon,9
Castform,18
Caterpie,9
Celebi,16
Celesteela,3
Centiskorch,9
Ceruledge,2
Cetitan,10
Cetoddle,10
Chandelure,2
Chansey,18
Charcadet,13
Charizard,13
Charjabug,9
Charmander,13
Charmeleon,13
Chatot,1
Cherrim,17
Cherubi,17
Chesnaught,12
Chespin,17
Chewtle,5
Chi-Yu,7
Chien-Pao,7
Chikorita,17
Chimchar,13
Chimecho,16
Chinchou,5
Chingling,16
Cinccino,18
Cinderace,13
Clamperl,5
Clauncher,5
Clawitzer,5
Claydol,16
Clefable,6
Clefairy,6
Cleffa,6
Clobbopus,12
Clodsire,18
Cloyster,5
Coalossal,13
Cobalion,15
Cofagrigus,2
Combee,9
Combusken,13
Comfey,6
Conkeldurr,12
Copperajah,15
Corphish,5
Corsola,5
Corviknight,1
Corvisquire,1
Cosmoem,16
Cosmog,16
Cottonee,6
Crabominable,10
Crabrawler,12
Cradily,17
Cramorant,1
Cranidos,14
Crawdaunt,7
Cresselia,16
Croagunk,12
Crobat,1
Crocalor,13
Croconaw,5
Crustle,9
Cryogonal,10
Cubchoo,10
Cubone,14
Cufant,15
Cursola,2
Cutiefly,6
Cyclizar,18
Cyndaquil,13
Dachsbun,6
Darkrai,7
Dartrix,1
Darumaka,13
Decidueye,2
Dedenne,6
Deerling,18
Deino,11
Delcatty,18
Delibird,10
Delphox,13
Dewgong,5
Dewott,5
Dewpider,9
Dhelmise,2
Dialga,3
Diancie,6
Diggersby,18
Diglett,18
Dipplin,17
Ditto,8
Dodrio,1
Doduo,1
Dolliv,17
Dondozo,5
Donphan,14
Dottler,9
Doublade,15
Dracovish,3
Dracozolt,3
Dragalge,11
Dragapult,2
Dragonair,11
Dragonite,11
Drakloak,2
Drampa,11
Drapion,7
Dratini,11
Drednaw,5
Dreepy,2
Drifblim,2
Drifloon,2
Drilbur,14
Drizzile,5
Drowzee,16
Druddigon,11
Dubwool,18
Ducklett,1
Dugtrio,14
Dunsparce,18
Duosion,16
Duraludon,15
Durant,15
Dusclops,2
Dusknoir,2
Duskull,2
Dustox,9
Dwebble,9
Eelektrik,18
Eelektross,18
Eevee,18
Ekans,18
Eldegoss,17
Electabuzz,18
Electivire,18
Electrike,18
Electrode,18
Elekid,18
Elgyem,16
Emboar,13
Emolga,18
Empoleon,15
Entei,13
Escavalier,15
Espathra,16
Espeon,16
Espurr,16
Eternatus,4
Excadrill,15
Exeggcute,17
Exeggutor,17
Exploud,18
Falinks,12
Farigiraf,18
Fearow,1
Feebas,5
Fennekin,13
Feraligatr,5
Ferroseed,15
Ferrothorn,15
Fezandipiti,18
Fidough,6
Finizen,5
Finneon,5
Flaaffy,18
Flamigo,1
Flapple,11
Flareon,13
Fletchinder,1
Fletchling,1
Flittle,16
Floatzel,5
Floette,6
Floragato,17
Florges,6
Flygon,11
Fomantis,17
Foongus,17
Forretress,15
Fraxure,11
Frigibax,10
Frillish,2
Froakie,5
Frogadier,5
Froslass,10
Frosmoth,9
Fuecoco,13
Furfrou,18
Furret,18
Gabite,11
Gallade,12
Galvantula,9
Garbodor,18
Garchomp,11
Gardevoir,6
Garganacl,14
Gastly,2
Gastrodon,5
Genesect,15
Gengar,2
Geodude,14
Gholdengo,2
Gible,11
Gigalith,14
Girafarig,18
Glaceon,10
Glalie,10
Glameow,18
Glastrier,10
Gligar,14
Glimmet,18
Glimmora,18
Gliscor,14
Gloom,17
Gogoat,17
Golbat,1
Goldeen,5
Golduck,5
Golem,14
Golett,2
Golisopod,9
Golurk,2
Goodra,11
Goomy,11
Gorebyss,5
Gossifleur,17
Gothita,16
Gothitelle,16
Gothorita,16
Grafaiai,18
Granbull,6
Grapploct,12
Graveler,14
Greavard,2
Greedent,18
Greninja,7
Grimer,18
Grimmsnarl,6
Grookey,17
Grotle,17
Groudon,3
Grovyle,17
Growlithe,13
Grubbin,9
Grumpig,16
Gulpin,18
Gumshoos,18
Gurdurr,12
Guzzlord,3
Gyarados,5
Happiny,18
Hariyama,12
Hatenna,16
Hatterene,6
Hattrem,16
Haunter,2
Hawlucha,12
Haxorus,11
Heatmor,13
Heatran,13
Heliolisk,18
Helioptile,18
Heracross,12
Herdier,18
Hippopotas,14
Hippowdon,14
Hitmonchan,12
Hitmonlee,12
Hitmontop,12
Honchkrow,1
Honedge,15
Hoothoot,1
Hoppip,17
Horsea,5
Houndoom,13
Houndour,13
Houndstone,2
Huntail,5
Hydrapple,17
Hydreigon,11
Hypno,16
Igglybuff,6
Illumise,9
Impidimp,6
Incineroar,13
Infernape,13
