number,url_name,name,alt_name,image_url
1,bulbasaur,Bulbasaur,Bulbasaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/bulbasaur.avif
2,ivysaur,Ivysaur,Ivysaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ivysaur.avif
3,venusaur,Venusaur,Venusaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venusaur.avif
4,charmander,Charmander,Charmander,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charmander.avif
5,charmeleon,Charmeleon,Charmeleon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charmeleon.avif
6,charizard,Charizard,Charizard,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard.avif
7,squirtle,Squirtle,Squirtle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/squirtle.avif
8,wartortle,Wartortle,Wartortle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wartortle.avif
9,blastoise,Blastoise,Blastoise,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/blastoise.avif
10,caterpie,Caterpie,Caterpie,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/caterpie.avif
11,metapod,Metapod,Metapod,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/metapod.avif
12,butterfree,Butterfree,Butterfree,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/butterfree.avif
13,weedle,Weedle,Weedle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/weedle.avif
14,kakuna,Kakuna,Kakuna,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kakuna.avif
15,beedrill,Beedrill,Beedrill,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/beedrill.avif
16,pidgey,Pidgey,Pidgey,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgey.avif
17,pidgeotto,Pidgeotto,Pidgeotto,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgeotto.avif
18,pidgeot,Pidgeot,Pidgeot,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgeot.avif
19,rattata,Rattata,Rattata,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rattata.avif
20,raticate,Raticate,Raticate,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raticate.avif
21,spearow,Spearow,Spearow,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/spearow.avif
22,fearow,Fearow,Fearow,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/fearow.avif
23,ekans,Ekans,Ekans,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ekans.avif
24,arbok,Arbok,Arbok,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/arbok.avif
25,pikachu,Pikachu,Pikachu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pikachu.avif
26,raichu,Raichu,Raichu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raichu.avif
27,sandshrew,Sandshrew,Sandshrew,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandshrew.avif
28,sandslash,Sandslash,Sandslash,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandslash.avif
29,nidoran-f,Nidoran♀,Nidoran♀,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoran-f.avif
30,nidorina,Nidorina,Nidorina,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidorina.avif
31,nidoqueen,Nidoqueen,Nidoqueen,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoqueen.avif
32,nidoran-m,Nidoran♂,Nidoran♂,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoran-m.avif
33,nidorino,Nidorino,Nidorino,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidorino.avif
34,nidoking,Nidoking,Nidoking,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoking.avif
35,clefairy,Clefairy,Clefairy,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/clefairy.avif
36,clefable,Clefable,Clefable,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/clefable.avif
37,vulpix,Vulpix,Vulpix,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vulpix.avif
38,ninetales,Ninetales,Ninetales,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ninetales.avif
39,jigglypuff,Jigglypuff,Jigglypuff,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/jigglypuff.avif
40,wigglytuff,Wigglytuff,Wigglytuff,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wigglytuff.avif
41,zubat,Zubat,Zubat,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/zubat.avif
42,golbat,Golbat,Golbat,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/golbat.avif
43,oddish,Oddish,Oddish,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/oddish.avif
44,gloom,Gloom,Gloom,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gloom.avif
45,vileplume,Vileplume,Vileplume,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vileplume.avif
46,paras,Paras,Paras,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/paras.avif
47,parasect,Parasect,Parasect,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/parasect.avif
48,venonat,Venonat,Venonat,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venonat.avif
49,venomoth,Venomoth,Venomoth,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venomoth.avif
50,diglett,Diglett,Diglett,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/diglett.avif
51,dugtrio,Dugtrio,Dugtrio,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dugtrio.avif
52,meowth,Meowth,Meowth,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/meowth.avif
53,persian,Persian,Persian,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/persian.avif
54,psyduck,Psyduck,Psyduck,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/psyduck.avif
55,golduck,Golduck,Golduck,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/golduck.avif
56,mankey,Mankey,Mankey,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mankey.avif
57,primeape,Primeape,Primeape,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/primeape.avif
58,growlithe,Growlithe,Growlithe,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/growlithe.avif
59,arcanine,Arcanine,Arcanine,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/arcanine.avif
60,poliwag,Poliwag,Poliwag,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/poliwag.avif
61,poliwhirl,Poliwhirl,Poliwhirl,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/poliwhirl.avif
62,poliwrath,Poliwrath,Poliwrath,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/poliwrath.avif
63,abra,Abra,Abra,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/abra.avif
64,kadabra,Kadabra,Kadabra,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kadabra.avif
65,alakazam,Alakazam,Alakazam,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/alakazam.avif
66,machop,Machop,Machop,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/machop.avif
67,machoke,Machoke,Machoke,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/machoke.avif
68,machamp,Machamp,Machamp,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/machamp.avif
69,bellsprout,Bellsprout,Bellsprout,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/bellsprout.avif
70,weepinbell,Weepinbell,Weepinbell,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/weepinbell.avif
71,victreebel,Victreebel,Victreebel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/victreebel.avif
72,tentacool,Tentacool,Tentacool,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tentacool.avif
73,tentacruel,Tentacruel,Tentacruel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tentacruel.avif
74,geodude,Geodude,Geodude,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/geodude.avif
75,graveler,Graveler,Graveler,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/graveler.avif
76,golem,Golem,Golem,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/golem.avif
77,ponyta,Ponyta,Ponyta,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ponyta.avif
78,rapidash,Rapidash,Rapidash,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rapidash.avif
79,slowpoke,Slowpoke,Slowpoke,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slowpoke.avif
80,slowbro,Slowbro,Slowbro,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slowbro.avif
81,magnemite,Magnemite,Magnemite,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magnemite.avif
82,magneton,Magneton,Magneton,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magneton.avif
83,farfetchd,Farfetch'd,Farfetch'd,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/farfetchd.avif
84,doduo,Doduo,Doduo,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/doduo.avif
85,dodrio,Dodrio,Dodrio,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dodrio.avif
86,seel,Seel,Seel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/seel.avif
87,dewgong,Dewgong,Dewgong,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dewgong.avif
