pokedex_names,elementType,species,height,weight,gender,eggGroups,eggCycle,base_hp,base_attack,base_defense,base_spAtk,base_spDef,base_speed,min100_hp,min100_attack,min100_defense,min100_spAtk,min100_spDef,min100_speed,max100_hp,max100_attack,max100_defense,max100_spAtk,max100_spDef,max100_speed,type_normal,type_fire,type_water,type_electricity,type_grass,type_ice,type_fighting,type_poison,type_ground,type_flying,type_psychic,type_bug,type_rock,type_ghost,type_dragon,type_dark,type_steel,type_fairy
bulbasaur,Grass			Poison,Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs),"87.5% male, 12.5% female","Grass, Monster","20				(4,884–5,140 steps)",45,49,49,65,65,45,200,92,92,121,121,85,294,216,216,251,251,207,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
ivysaur,Grass			Poison,Seed Pokémon,1.0 m (3′03″),13.0 kg (28.7 lbs),"87.5% male, 12.5% female","Grass, Monster","20				(4,884–5,140 steps)",60,62,63,80,80,60,230,116,117,148,148,112,324,245,247,284,284,240,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
venusaur,Grass			Poison,Seed Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs),"87.5% male, 12.5% female","Grass, Monster","20				(4,884–5,140 steps)",80,82,83,100,100,80,270,152,153,184,184,148,364,289,291,328,328,284,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
charmander,Fire,Lizard Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),"87.5% male, 12.5% female","Dragon, Monster","20				(4,884–5,140 steps)",39,52,43,60,50,65,188,98,81,112,94,121,282,223,203,240,218,251,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
charmeleon,Fire,Flame Pokémon,1.1 m (3′07″),19.0 kg (41.9 lbs),"87.5% male, 12.5% female","Dragon, Monster","20				(4,884–5,140 steps)",58,64,58,80,65,80,226,119,108,148,121,148,320,249,236,284,251,284,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
charizard,Fire			Flying,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),"87.5% male, 12.5% female","Dragon, Monster","20				(4,884–5,140 steps)",78,84,78,109,85,100,266,155,144,200,157,184,360,293,280,348,295,328,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
squirtle,Water,Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"87.5% male, 12.5% female","Monster, Water 1","20				(4,884–5,140 steps)",44,48,65,50,64,43,198,90,121,94,119,81,292,214,251,218,249,203,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
wartortle,Water,Turtle Pokémon,1.0 m (3′03″),22.5 kg (49.6 lbs),"87.5% male, 12.5% female","Monster, Water 1","20				(4,884–5,140 steps)",59,63,80,65,80,58,228,117,148,121,148,108,322,247,284,251,284,236,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
blastoise,Water,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs),"87.5% male, 12.5% female","Monster, Water 1","20				(4,884–5,140 steps)",79,83,100,85,105,78,268,153,184,157,193,144,362,291,328,295,339,280,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
caterpie,Bug,Worm Pokémon,0.3 m (1′00″),2.9 kg (6.4 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",45,30,35,20,20,45,200,58,67,40,40,85,294,174,185,152,152,207,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
metapod,Bug,Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",50,20,55,25,25,30,210,40,103,49,49,58,304,152,229,163,163,174,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
butterfree,Bug			Flying,Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",60,45,50,90,80,70,230,85,94,166,148,130,324,207,218,306,284,262,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
weedle,Bug			Poison,Hairy Bug Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",40,35,30,20,20,50,190,67,58,40,40,94,284,185,174,152,152,218,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
kakuna,Bug			Poison,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",45,25,50,25,25,35,200,49,94,49,49,67,294,163,218,163,163,185,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
beedrill,Bug			Poison,Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),"50% male, 50% female",Bug,"15				(3,599–3,855 steps)",65,90,40,45,80,75,240,166,76,85,148,139,334,306,196,207,284,273,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
pidgey,Normal			Flying,Tiny Bird Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),"50% male, 50% female",Flying,"15				(3,599–3,855 steps)",40,45,40,35,35,56,190,85,76,67,67,105,284,207,196,185,185,232,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
pidgeotto,Normal			Flying,Bird Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),"50% male, 50% female",Flying,"15				(3,599–3,855 steps)",63,60,55,50,50,71,236,112,103,94,94,132,330,240,229,218,218,265,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
pidgeot,Normal			Flying,Bird Pokémon,1.5 m (4′11″),39.5 kg (87.1 lbs),"50% male, 50% female",Flying,"15				(3,599–3,855 steps)",83,80,75,70,70,101,276,148,139,130,130,186,370,284,273,262,262,331,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
rattata,Normal,Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),"50% male, 50% female",Field,"15				(3,599–3,855 steps)",30,56,35,25,35,72,170,105,67,49,67,134,264,232,185,163,185,267,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
raticate,Normal,Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs),"50% male, 50% female",Field,"15				(3,599–3,855 steps)",55,81,60,50,70,97,220,150,112,94,130,179,314,287,240,218,262,322,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
spearow,Normal			Flying,Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),"50% male, 50% female",Flying,"15				(3,599–3,855 steps)",40,60,30,31,31,70,190,112,58,60,60,130,284,240,174,177,177,262,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
fearow,Normal			Flying,Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),"50% male, 50% female",Flying,"15				(3,599–3,855 steps)",65,90,65,61,61,100,240,166,121,114,114,184,334,306,251,243,243,328,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
ekans,Poison,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),"50% male, 50% female","Dragon, Field","20				(4,884–5,140 steps)",35,60,44,40,54,55,180,112,83,76,101,103,274,240,205,196,227,229,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
arbok,Poison,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),"50% male, 50% female","Dragon, Field","20				(4,884–5,140 steps)",60,95,69,65,79,80,230,175,128,121,146,148,324,317,260,251,282,284,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
pikachu,Electric,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),"50% male, 50% female","Fairy, Field","10				(2,314–2,570 steps)",35,55,40,50,50,90,180,103,76,94,94,166,274,229,196,218,218,306,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
raichu,Electric,Mouse Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs),"50% male, 50% female","Fairy, Field","10				(2,314–2,570 steps)",60,90,55,90,80,110,230,166,103,166,148,202,324,306,229,306,284,350,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
sandshrew,Ground,Mouse Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",50,75,85,20,30,40,210,139,157,40,58,76,304,273,295,152,174,196,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
sandslash,Ground,Mouse Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",75,100,110,45,55,65,260,184,202,85,103,121,354,328,350,207,229,251,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
nidoran-f,Poison,Poison Pin Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),"0% male, 100% female","Field, Monster","20				(4,884–5,140 steps)",55,47,52,40,40,41,220,89,98,76,76,78,314,212,223,196,196,199,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
nidorina,Poison,Poison Pin Pokémon,0.8 m (2′07″),20.0 kg (44.1 lbs),"0% male, 100% female",Undiscovered,"20				(4,884–5,140 steps)",70,62,67,55,55,56,250,116,125,103,103,105,344,245,256,229,229,232,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
nidoqueen,Poison			Ground,Drill Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs),"0% male, 100% female",Undiscovered,"20				(4,884–5,140 steps)",90,92,87,75,85,76,290,170,161,139,157,141,384,311,300,273,295,276,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
nidoran-m,Poison,Poison Pin Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"100% male, 0% female","Field, Monster","20				(4,884–5,140 steps)",46,57,40,40,40,50,202,107,76,76,76,94,296,234,196,196,196,218,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
nidorino,Poison,Poison Pin Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),"100% male, 0% female","Field, Monster","20				(4,884–5,140 steps)",61,72,57,55,55,65,232,134,107,103,103,121,326,267,234,229,229,251,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
nidoking,Poison			Ground,Drill Pokémon,1.4 m (4′07″),62.0 kg (136.7 lbs),"100% male, 0% female","Field, Monster","20				(4,884–5,140 steps)",81,102,77,85,75,85,272,188,143,157,139,157,366,333,278,295,273,295,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
