"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Abomasnow",-0.0452855456437529,-0.06972736479152,-0.0667600095582909,-0.0339612810323532,0.0200162559679411,0.031027334992985,0.0367923163003327,-0.0307207965162203,-0.0116444413385527,0.0119847084808045,0.000615579736468848,0.00224500615328009,0.00453483157893786,-0.00067893891018457,0.0215046883873491,-0.0203835856641003,0.078600451836359,0.0128147800015689,-0.0401352273592629,-0.0111742006233683
"Abra",-0.052915440858739,-0.00228340333997953,0.000536202529491398,0.0474083899794163,-0.0184558773380909,0.0231428173635575,-0.0360743520014288,-0.0245409687983203,-0.0151591289042132,0.00630459798936356,-0.0261241292012597,-0.00747839049886462,0.0177928954054178,-0.0361256816998185,-0.0267539774022566,-0.0362801899159931,-0.0449350817721449,0.0423315176025675,-0.023949840020868,0.0276225542323979
"Absol",0.031911718355035,-0.00180860612562908,-0.00295879834069221,0.0274403363158906,0.0601838828855254,0.00504397448396721,-0.0201278859320774,-0.0159664392956038,0.010877411174276,-0.00394550220137705,-0.063776419496979,-0.013076133365033,0.0144626757089124,-0.0201110949452778,0.000191862619935895,-0.0106714252006427,0.0120508672781264,-0.0532706431188161,-0.010922196214121,-0.00980795630187556
"Accelgor",-0.000735537727426596,-0.0106929328577888,0.0407533203599775,-0.0476211820949673,0.0508551412916387,0.0377399693398346,-0.0267136673384031,-0.0457239818374423,-0.0132710681014326,0.0194074154067538,-0.0192996162234705,0.00576061473421221,0.00562184734630327,-0.00559573537158676,0.0184303664421328,0.0538010702150952,-0.0289643882661536,0.0126021819112056,-0.0571446807512321,0.00209726739116606
"Aerodactyl",-0.00818882431597025,-0.00338336755687774,-0.0160116061821212,-0.00139392544471129,-0.0235809834692447,0.0456115715232106,0.00249635407649677,0.00401749561077888,0.00903741260539086,-0.0431953702361407,-0.00866497733478637,-0.0422610162310974,-0.0174492186218642,0.0228961506170592,0.00616535209742693,0.0364626118716561,-0.0308528713612735,-0.0193602421486875,-0.00902222650690232,-0.0202630663746476
"Aggron",-0.0286941585690264,0.012241511104523,-0.0314178245164704,0.00396099558498543,0.00524462073811643,0.00350996293593836,0.0416483836978515,0.021920382226418,-0.0271871088552084,0.00862945297821391,-0.0370907809187642,-0.0115464549464865,-0.0026138896624999,-0.000620802326370594,0.0164102697602,0.0268411196153673,0.0360190799193836,-0.014400473582923,0.109393334971443,-0.0470296534297018
"Aipom",0.0201777217415156,-0.0405258049065751,0.0267391993673952,0.00213342664379919,-0.0134926045015339,-0.00173550958205125,0.0149131621616747,0.00254121854491582,0.00142867954740609,0.00180487305394664,-0.00965934430629951,-0.0176520302288858,0.00646903304144454,-0.0236329398878173,0.00982497954001739,0.00638634652765449,-0.00735113605014909,-0.0362401074504236,0.000117863093790249,0.0207400964500374
"Alakazam",-0.056482673474241,-0.00790202173260621,0.0138972627331002,0.0454972939374521,-0.0122582036035751,0.0228466000372026,-0.0269112114315764,-0.0337979573986672,-0.0166061587688658,-0.00843355804612324,-0.0263487639004936,-0.00126556318692699,0.0181122136372342,-0.0318435906996285,-0.0135731492079431,-0.0354979866446646,-0.0462344545409883,0.0437495553936108,-0.0355848187705731,-0.0132788791820587
"Alcremie",0.0146518911022764,0.0259112452733197,0.0181181314614529,-0.0227522962633982,0.0496683351933503,-0.00431133664627424,-0.0396500852116487,0.0412640655695009,0.00299359651345096,-0.0711476751943526,0.0552405891931767,-0.017737064149373,0.0223913729916597,-0.0262365863682655,0.0763399697388163,-0.0396167077528094,0.00512037866163342,0.0476098898978964,-0.00714399838256477,-0.00567661326140398
"Alomomola",-0.00833813652636725,0.0197437836304414,0.0283139700721182,-0.0612351054156436,0.0203614141971756,-0.0116153377946597,0.0167863473668576,-0.0172125656046556,0.0857505443958321,0.0541987828572738,0.0331083992447148,0.031112649595228,-0.0162877549171112,0.0626278690599383,0.0120485027811992,-0.0625834555572276,-0.0312941414365269,-0.0474360124824618,0.00876953323544589,-0.0116080799399454
"Altaria",-0.0501225341145487,0.0304385875246456,0.0214271710017192,0.0173956706387948,-0.0104631134302638,-0.0644033484033595,0.0135598056829502,0.0516865341983156,-0.0464744687719847,-0.0782068986963492,0.0162391545208735,-0.0765290180810975,-0.0519981802028073,0.0612916782548015,-0.0531898314956664,0.0207744746192616,0.000481210664569687,-0.00804629430850343,-0.0548702760052691,-0.0151066959149559
"Amaura",-0.048061884510701,-0.0944224297142678,-0.108872332603533,-0.0384261247783169,0.00630707796810188,0.0628909399832723,-0.0357330517608697,-0.0497044622057484,-0.0417687288741704,-0.0279790049904299,0.032589038922422,-0.0517529606530476,-0.00261629960355978,-0.00511824978477157,0.0146779944757489,-0.0129008158385885,0.0213622780158675,-0.0241898116458573,0.0521813231123426,0.000930871989877308
"Ambipom",0.0157642201914453,-0.043212145259748,0.0329984781618169,-0.00284263380021465,-0.00728468661229094,0.00429547664473516,0.0206818025537359,-0.00347125209542343,0.00573596309111553,-0.0064011046836831,-0.0146149796944477,-0.0126044787127162,0.0099070865544664,-0.0255284976179647,0.0140550101398804,0.012230439141151,-0.0117061762688212,-0.0419345387728723,-0.0110670399051751,-0.00440622373152274
"Amoonguss",-0.00212211321975438,-0.00166279573233946,-0.0108829639332953,-0.0198166611439703,-0.00939761210357619,-0.00746681427180995,0.0465116467086634,-0.0050523061854135,0.00994816956621217,0.00888432247722046,0.0378106490853782,0.0368954374698644,0.00896411050218306,0.0025932260813711,0.00232807633092227,-0.00123714765809227,0.0533307427890797,0.0215888275822264,-0.0286763338664135,-0.00109273343550509
"Ampharos",-0.00574014785659488,0.0153541239396889,0.0210652966156184,-0.0206050836194397,0.0132274696641578,-0.0246665775696961,0.031159966007316,-0.0194367962251136,-0.0303433249670145,0.00412718611583994,0.0171020216271844,0.00725480081125952,0.0159086271865458,-0.0191267646472755,0.00210185485063155,-0.0255720264767169,-0.0106770118067524,-0.00233763552561361,0.00443737023787126,-0.0227309270788661
"Annihilape",0.025192005484996,-0.0584130775819632,0.0303835584178389,0.00946790270989115,0.00555345637226898,-0.0264302237656364,-0.0313797093081787,0.00680500780457921,0.10512185172476,-0.0599753694873661,0.0265839035769383,0.061389832368379,0.0219884330846126,0.000714568659107815,-0.0330234341195013,0.0408917026511431,0.000876691132281185,0.00264765538944148,0.00104524710912066,-0.0294529135323242
"Anorith",0.0208723523271842,-0.0219707492304873,-0.0498519389072811,-0.0237975751066447,0.00176206627850939,0.0946115514526034,-0.0457456334785329,-0.0245547583209542,-0.0208530809148948,-0.0215280628618875,-0.0271878272994344,0.00140801563900589,-0.00853616933411308,0.0258534062016871,-0.00574726726313187,0.0464660656092332,-0.00471093774893106,-0.00880638622277706,0.0292877453276758,0.0182064425829474
"Appletun",-0.0256890528944809,0.034748354100359,-0.0332158539798789,-0.0229346033338107,0.0226820205080522,-0.0646813693820379,0.0440454737275586,0.010488781248606,-0.0424815979491232,-0.0286732756183896,0.0330129766048433,-0.00683748679519101,-0.0159467238504254,0.0230732409612339,-0.076542502497729,-0.0446294003202212,0.0861792576341412,-0.00245762327331587,-0.0660986742528794,-0.0150880603396107
"Applin",-0.0113740862858879,0.0357834083265254,-0.0291518283377051,0.00121297934335957,-0.00701308298667969,-0.0443018519564538,0.0183266603408712,0.0580163912936323,-0.0641092167971686,-0.00991567188474565,0.00353810375714573,-0.0162235473958483,-0.0229590352299801,0.0215028384890729,-0.0977581170451541,-0.0306150501031915,0.0899947455365377,0.00218033799915949,-0.0407358908582088,0.0410462069695324
"Araquanid",0.0208336865414985,-0.00212722213403443,0.0340817387686831,-0.000244456612259199,0.022338906956501,-0.0367733529022989,-0.0186290042999726,-0.0211498913092332,-0.0248240715455751,0.0216680484214591,0.00272328333013119,0.0420211463235814,-0.0315676876676459,0.0849187922716363,0.0386477421975571,-0.00415820707834141,-0.0042780651171211,0.0248751738064994,-0.0016574791211903,0.000675228192190128
"Arbok",-0.0347965841404148,-0.0225412172249812,0.0313199798483198,-0.0119503069226106,0.00553863042061781,-0.0165277741961477,0.0248096793713872,0.0212790426801513,-0.0312466314252913,-0.00662515705839545,0.0365693256972753,0.0267590804248655,0.0126744033455878,-0.00936669593064554,-0.0169959780066125,0.0333766705235319,-0.0142041082049976,-0.00834032837956302,0.000600506367791117,-0.00694005755881723
"Arboliva",0.0291531198994269,-0.0233240586727574,-0.0114870971761544,0.0111449835185151,-0.0112283221343779,-0.0106795921522723,0.0618894386761702,-0.0050979581332246,-0.023327553390976,-0.00348275885780919,0.00377554589912579,0.00513794392713493,0.00130771628886348,-0.00703978782580367,0.0230625071644355,-0.0384813637062145,0.061011976653862,0.016341551204357,-0.0400905668562211,-0.0106668053604878
"Arcanine",0.00392580899118695,0.0231056352251676,-0.0225078407264442,0.0282049413053926,0.0148215459755916,-0.000831190962288592,0.0371733040127985,-0.0654532545681341,-0.0250768989506765,-0.00863841627075063,0.0113107267574037,0.0180979753735758,0.0248585080283161,-0.0249925710257093,0.0151800784500354,0.0268825913134187,-0.0373945572656202,-0.0151867771437492,-0.00247878304562973,-0.0318329107303887
"Arceus",0.0681127776673121,-0.0347407894488239,0.0222108587470073,-0.033322059903631,-0.0623287387191442,0.000954212522451595,0.00442345245209183,0.00972778026346342,-0.00729589516694707,0.023614584118629,0.00114916400169061,-0.0179391010396276,-0.0102766619090404,-0.0172938735748288,0.0414298471094124,0.00384610673134261,-0.00547235883569548,-0.0181356264610416,-0.0276997067490235,-0.0933626275912502
"Archaludon",-0.0314864196138065,0.00476852656168607,-0.00428747819643477,-0.0128238873612017,0.0302242740019754,-0.0279905097385762,0.0189689274552758,0.0304370212676477,-0.0193483639585355,-0.0028653003628556,-0.0175452490049288,-0.0096805508492336,-0.00110106072652527,-0.00885702876066528,-0.022678690464246,0.0134415536259375,0.00223529938490097,0.00291598721599527,0.0163227323610989,-0.0497453116202818
"Archen",-0.00517068886854051,0.0124510347846163,-0.0756436008318967,0.00554108670159223,-0.0266437531070887,0.0847064676385244,0.00828977569475201,0.00226375707367653,0.0148425834969841,-0.0662690660287726,-0.0209710380492334,-0.0397684293363209,-0.0230192723172549,0.040652836888549,-0.00243642861422556,0.0417659916894335,-0.0323047289827295,-0.0203653942001059,0.00752024130208776,0.0054064196201427
"Archeops",-0.0111644401991855,0.00985734860108145,-0.0686851770532517,0.00241183530641451,-0.0175602631751148,0.094258327559438,0.0169967120610271,-0.00445994504647231,0.0125861009070774,-0.0800611201184619,-0.027176681134977,-0.0340257581414396,-0.018665035525179,0.0381307487515965,0.00521367626386211,0.0472797434510618,-0.0405544010887692,-0.0220013880387916,-0.00835436445714995,-0.0297456757515254
"Arctibax",-0.0771409260363299,-0.0774842578690323,-0.0491037519276863,-0.0503009176058166,0.038375510312236,-0.0394356953954825,-0.0479930887669207,0.0114715083200395,-0.0347992128336303,-0.00950115255904529,0.0141457029609123,-0.0475257932783753,-0.0202657408603881,0.0124737730333281,-0.0512606397100267,0.00513936644201932,0.0298735774326907,-0.0326653299660979,-0.00809369402665343,-0.00798542401648054
"Arctovish",-0.00198647626513598,-0.033604482437744,-0.0296508626882257,-0.0260619272109995,-0.0123248169142994,-0.000258076544719273,-0.0187072854470112,0.00553147047888577,-0.00633427718278418,0.027639545551727,-0.000628250850782955,0.000340408970461972,-0.0172500244138834,0.0240775423187331,0.0211207302228886,-0.0202023225319048,-0.00711364068305934,-0.00529293329244347,0.00322150285255044,-0.0348541037423699
"Arctozolt",-0.00532422936583679,-0.0185726800280254,-0.0248002298602035,-0.0405574946178475,-0.00669316207894916,-0.00517631864630095,-0.0156449255623263,-0.00344427872478102,-0.0175765982187827,0.0266779310156606,-0.00279681892584295,-0.0133437934282689,-0.00065390052370711,-0.0165113793158412,0.0100254937766056,0.00118614702430119,0.00623864991784154,-0.00237763299190875,0.00495138298009779,-0.0378489542259921
"Ariados",-0.00545940868149899,-0.000650329150278094,0.0191827229423386,-0.0379872256733691,0.0237966775657419,-0.0211842973835783,-0.00711800126099221,-0.0325310229822799,-0.00762418556319154,0.0372395505233945,0.0380046558568815,0.0393078462977751,-0.00897158596814474,0.0328410740665429,0.0169843288005224,0.0712024584761521,0.0158004761571092,0.0253599747131524,-0.00591897422987951,0.0148089307068466
"Armaldo",0.0207026236598408,-0.00844499823137362,-0.0560708127043762,-0.011964781405389,0.0122431398950758,0.0652939619428322,-0.025210660611845,-0.0444003798099255,-0.0171165708823321,-0.0316314298047285,-0.0111599606378806,0.0145282603826366,-0.0167470659867783,0.0511758127774292,0.0109727908866883,0.0381761013845936,0.0211428167333897,-0.0017641697300258,0.0376592395536239,-0.021644026452078
"Armarouge",-0.0603839903859686,0.0451037414613298,-0.0231627252291241,0.0862021891658744,-0.0184458564567061,-0.0187996932605654,-0.00736301672433697,-0.0912749062573462,-0.0262360691280892,0.00074630409314512,0.00714293089156667,0.00298070553070002,0.0183631443634445,-0.0254230376795755,-0.00226767428328333,-0.0159914053515866,-0.0453332119602762,0.045638837128802,8.03768509046172e-05,-0.0288239241158199
"Aromatisse",-0.0168834411074548,0.0685889111592406,-0.0245567611638063,-0.0286907806206708,0.0446893593045388,-0.00753361574246484,-0.033930075117142,0.023890112879326,0.0201523360078359,-0.0497906399200703,0.0767399386076248,-0.00862126604566161,0.0230436255074462,-0.0168956687930429,0.0877303699814529,-0.0429244173690445,0.023170336770136,0.0190668772919698,-0.000864397939727725,-0.00536355356678477
"Aron",-0.0241914967567594,0.007233183563472,-0.0396679396952165,-0.00260186120998997,0.000452529364826169,-0.000581078636775621,0.0281787898220285,0.0228329032098579,-0.0272432050551073,0.0143433475631283,-0.0301116388282222,-0.0193789893226791,0.00385660015671655,-0.0178754317751608,0.0058071259432671,0.0150949101736923,0.0201047896777476,-0.0114311004663294,0.103743813053436,0.00256111084789261
"Arrokuda",-0.00367243924937116,0.0115280283301514,0.0167541201817585,-0.0228093395450098,0.0124770522508649,0.023267708070414,-0.00963509531733276,0.0292612488393765,0.0244212005423304,0.0371131227552082,-0.0259057102429492,0.0276044101316467,-0.0029863082579979,0.0238492671018453,-0.0139999690382376,-0.0322734777540587,-0.0439670230263258,-0.0254596542342077,0.0111024619647775,0.0396567473245383
"Articuno",-0.0112119446164596,-0.0783221816178915,-0.0677876199933142,-0.0388981817446883,-0.0389066721815989,0.0150250860321285,-0.0382472491616314,-0.0165896053771683,-0.0223302577238956,-0.00262594030462421,0.00766822160471024,-0.0577671654647579,-0.0387116421137116,0.0354462071662126,0.0634448255892706,0.0229490621940121,-0.0121486207719682,0.0279357342688675,-0.0351246508572251,-0.0485666435959001
"Audino",0.0187445956890831,-0.0243200078452559,0.0274210980264244,-0.0108996193760957,-0.00457427144656738,-0.0400615243937527,0.016177325362615,0.0045084994395251,0.00834557979453581,-0.00701790269032721,0.0380626116379066,-0.027352578872649,-0.00291051221363899,-0.00654413167305391,0.044638309306897,-0.0230365700842253,0.0166317334472992,-0.0172360219820393,0.00558866696617891,-0.00319280725693684
"Aurorus",-0.0492055598457308,-0.098533541142314,-0.108760701086916,-0.0379831999520871,0.0144651081360653,0.0597086095507717,-0.0263302669566201,-0.0639190704160165,-0.0366361840619291,-0.028512969181574,0.0510736268851404,-0.0509711669915005,-0.00412743417677242,0.00192789326335634,0.0279638905146326,-0.0187525600339467,0.0257515372972321,-0.0259903778229198,0.0439783923192043,-0.0391729193512903
"Avalugg",-0.0604944179367033,-0.0582190880479815,-0.0528821508008082,-0.021548598112928,0.00965918207368364,0.00175388676918592,-0.000462017897946735,-0.0181549363626374,-0.000761008218340863,0.0160268939311634,0.00694461082599871,-0.0194450983851812,-0.0257084510343875,0.042183039528945,0.0226134688845595,0.0141439849063654,0.0687241453658243,-0.0125527080484654,0.0506538584353561,-0.0371320637290417
"Axew",-0.0522982168312354,0.0143569224223834,-0.0118992059482713,-0.027591427719571,0.0105119289267937,-0.0506312082344721,-0.0249659782271453,0.045415274910067,-0.0526474960640192,-0.01395010434937,0.000465943797911052,-0.0230377443048474,-0.0180471008812669,0.0139544789608652,-0.094585922500512,0.00590105463739265,0.0215534112974327,-0.0372067471197037,-0.00970628110089258,0.0188353018578446
"Azelf",-0.0303282451038186,0.0132398042645032,0.00108389884094059,-0.0195598750629556,-0.0530821488881485,0.0505597778355159,-0.0398531525267949,-0.0270573217331526,0.0197956668237863,0.0203304470437055,-0.05821679973251,-0.0116655665487171,0.00560905394642705,-0.0319307058145099,-0.0226683955879793,-0.0165042344979793,-0.0324342268274515,0.0317120513666071,-0.0394860255820843,-0.0470455927209926
"Azumarill",-0.00510014879721272,0.0631193991530577,0.00713709735056005,-0.0367370635631606,0.0361864797787405,-0.00218929389763224,-0.0257554181407887,0.0496606134269751,0.0247689126617236,-0.0319990621309545,0.0553943312615737,0.0245786639883734,0.00786828802053072,0.0304006637214449,0.0908190806289397,-0.0748316585441004,-0.0172696770701413,0.00213998006697693,0.0119867776537309,0.00852114403723026
"Azurill",0.0547490588893526,0.0185378668412834,-0.0199937938403116,-0.019464697911077,-0.0349255365951005,-0.0113584331656194,-0.0558817288346685,0.0594708614035101,0.0144467922558589,0.00708682940796402,0.0579122010690644,-0.0470213983294513,0.00470341650610815,-0.0304738141602383,0.0639155425254767,-0.0288635822945239,0.0146498467056591,-0.00728229745272582,0.0219192836524297,0.0588138753333248
"Bagon",-0.0321810370778833,0.0182903036965747,-0.0136117977841768,-0.0204328410604376,0.0135297298337222,-0.0495030794514291,-0.0333785920783079,0.0492073058058886,-0.0414453308693525,-0.00331978050955486,0.00160189778798039,-0.0259455783043127,-0.0180658463630082,0.0103651553825487,-0.0903647272207823,0.00419532832970751,0.0151950909699567,-0.0300702783330756,-0.0108777822651308,0.0234626460185442
"Baltoy",-0.0374435945930306,0.0168658483747561,0.0655712586655833,0.0124709175922288,-0.0471500878351566,0.0386399229441477,-0.0317092354297197,-0.0265156436803818,0.00767965786349963,0.00801797646071848,-0.0171195062089875,-0.0403047347173647,-0.00749532567628425,-0.0141663161955459,-0.0471824340088073,-0.0281588943869402,0.0103179184922576,0.0400544894644666,0.0259432870035065,0.0184283211707296
"Banette",0.051024437079645,-0.029208539815026,-0.0213824687687861,-0.00971555497366184,0.051370020021143,0.00390168836800671,0.00788342466551381,0.000306621028108571,0.0804315129351646,-0.0455251835086393,0.00094910439038103,0.00931387500652892,0.00690706369114497,-0.00530881225659888,-0.0607311435378584,0.0166832330440487,-0.0261814625605484,0.0517947441397413,0.0169771104247512,-0.0118004170585522
"Barbaracle",0.0296752169138022,-0.0362989641449752,-0.00663443006547629,-0.0215180398050914,-0.00895250830874943,0.0732933124744386,-0.00559445950812316,0.00597340079401788,-0.0173805252073031,-0.0368299241718659,-0.031354732455345,0.0341333496889124,-0.0173344316288342,0.0664939248684483,0.00996796238513419,-0.025295741048451,-0.0142803016294423,-0.0256913170583195,0.0645703244150922,-0.0253103899698392
"Barboach",0.00811496025816931,0.0408114576595542,0.0694671670161534,-0.0373019818460681,0.00295905555370512,0.041833771832319,-0.00641119260818941,-0.00604002116270567,0.0190038304885535,0.0207320938395185,0.00150929345723903,0.0162595590487148,0.00190634876468221,0.0147469293208471,-0.0343435555428732,-0.0460265297138467,-0.02359370211483,-0.0265574103193848,0.0306799430043184,0.0312065662766075
"Barraskewda",-0.019068532253357,-0.00616261088618469,0.0558559968751172,-0.040694994061627,0.0301096104678222,0.0640489713750721,0.00278487991922897,0.0209080699456155,0.0358582194078399,0.00701410841052904,-0.0556934876666941,0.0432472204067226,0.0076015170283393,0.0194478242899972,-0.00578878029433516,-0.00784140001934558,-0.0588352127200441,-0.0425167069298423,-0.0145757375987022,-0.00745280344409285
"Bastiodon",-0.0155065445924222,-0.0143856721676012,-0.0121025705403656,0.0402786400988824,-0.0189373933488,-0.0331744523949471,0.0380726538521498,0.0217162405740005,-0.078054565902438,-0.0148672972631978,-0.0257305020276578,-0.00856034888634052,-0.00722394242882987,0.00999591537577727,0.0398666303876382,-0.000247158671360063,0.0381564787867185,0.0195437877660878,0.11367761593544,-0.0382329161092449
"Baxcalibur",-0.130336840473186,-0.103439598712033,-0.0488403635408429,-0.0736774459033326,0.0724620495641629,-0.0414769907604539,-0.0362768534197619,-0.000690711322766699,-0.0296909827456323,-0.0268100517571523,0.013530118496764,-0.0407698120880337,-0.0216753674553957,0.0223002857630862,-0.0476965136027564,0.0168740463238871,0.0353848335411491,-0.0437002716921986,-0.0205788771128134,-0.0556907652989055
"Bayleef",-0.00495952034133114,0.000699412329802735,-0.0195884783554505,0.00980094496783398,-0.0202440419095079,0.01884851372382,0.0470380687930032,0.000177596461395021,-0.0252859285793385,-0.00483795667576398,-0.0103609481227826,0.0248444898882562,0.00638724041795309,0.0019043008709512,-0.0074903425640915,-0.0242056293230593,0.0607734436779968,0.0169046601895862,-0.0318227115245197,0.0128894786870593
"Beartic",-0.0464614009448172,-0.081412693087336,-0.0490896081875435,-0.020094399900316,0.0349859493800041,0.00596592765472711,-0.00541362827256103,-0.0461816982950729,0.0218975280135126,0.0111512342729611,0.0153922920049673,-0.0118370816201025,0.00053285434989726,0.00545566472178247,0.0265601202176086,0.00842134068533688,0.0286562311068836,-0.0262545148101602,0.00646132953432762,-0.0266485443645202
"Beautifly",0.000808173927504361,0.0269942885658911,-0.020505605478276,-0.013402499671951,0.0352556517712387,0.00578297353842239,-0.00884401713442707,-0.0398905855694965,-0.00817328936792403,0.0163047873263269,0.000500224959392375,-0.0204476416444751,-0.0269463728589367,0.0423767708851826,0.0255116181031219,0.0615270098855435,-0.0157912180341331,0.0271201626201106,-0.0459397478275073,0.0225790637762158
"Beedrill",-0.00516797032582631,-0.0224186016362985,0.0398453765782502,-0.0431594462612367,0.0199270459836542,-0.00704404149568768,-0.0163667136104448,-0.0274207045497168,-0.00884422528005703,0.0318522298454249,0.0300584337905788,0.0365750677997101,-0.00214754580104079,0.0195507703598323,0.0168845313156134,0.0788000066447406,6.0542343762215e-05,0.0200884066481167,-0.0197194218390448,0.0190433424546575
"Beheeyem",-0.0573121581904914,0.0103846110159819,-0.00275571328731804,0.0500574549965026,-0.00942858514025065,-0.0171759629932851,-0.0213338321608495,-0.0460572884569755,0.00685887927635412,0.000229054333151492,-0.00527827121060154,0.00151028333651224,0.00645338979983273,-0.00731475614619032,-0.0101411478504449,-0.0450565425655463,-0.00643439009606532,0.0449713389027752,-0.00799797733053256,-0.0166755855018025
"Beldum",-0.0828483433149823,-0.000141170417513062,-0.00025153930633077,0.0238232439084845,-0.0291525777411849,-0.0299685751949185,-0.00332631012995023,0.0366315533980445,0.0277380267450291,0.0664626606004873,-0.0590670481771732,-0.029067686663601,-0.00637336556008982,-0.0269092559549088,-0.0124820715121286,-0.00243358760408916,0.00360055075962658,0.0619386030642656,0.0651707748936137,0.0104421474313396
"Bellibolt",0.00189865640306946,0.0322634528935106,0.018291827573275,-0.0263986860941353,0.0120987817410009,-0.0450201193144414,0.0279907651793395,-0.0124245539836847,-0.0225205318917913,0.0129012882825754,0.0279080338751375,0.0126591226311401,0.00583193911652888,0.000482952702122156,0.00924387598066621,-0.0362309412246455,-0.0106044544535823,0.00328955743578883,0.00880875407646639,-0.0215940195979977
"Bellossom",0.00369837232837786,-0.00219043086305459,-0.00622222387849716,-0.000251820990628093,-0.00756601440634365,0.00406893644334023,0.0436100108460578,-0.00282432308715749,-0.0114202109735249,-0.0082795680447434,-0.00174694822956304,0.0246110376156703,0.00652451287503858,0.00246696650551974,0.00635838392024898,-0.0229313341309125,0.0584326377561722,0.0273899411972264,-0.0356418381211104,-0.00580962167768306
"Bellsprout",-0.00390349318676091,0.000171575645114947,-0.0224546301974878,-0.0196565912517752,-0.0133957225185754,0.0145941276395146,0.0473143353160984,0.0139620357664757,-0.00100475952142332,0.0137503716204076,0.0204137610735216,0.0354862741888327,0.0149309087274384,-0.0143411880200636,-0.0181309742569593,0.00889846386260204,0.0369998765996994,0.0179558968060175,-0.0266590271608976,0.0350858335838463
"Bergmite",-0.0793316870189693,-0.0798419044023484,-0.0825672897793085,-0.0352060748282266,0.0112022535932958,0.0162324881475274,-0.0179254603839071,-0.00871737462271343,-0.00834253926343637,0.0211395563672191,0.00427234407873246,-0.0322463382810872,-0.012562819726098,0.0120975541389559,0.00334146967645198,0.00620528198247262,0.0406131508600481,-0.00946027534173889,0.0396574680930438,0.0243410838514862
